brand,price,processor,Ram,ROM,display_size,OS
MSI,66490,11th Gen Intel Core i7 11800H,16.0,512.0,15.6,Windows 11 OS
Asus,69990,5th Gen AMD Ryzen 7 5800H,16.0,512.0,14.0,Windows 11 OS
Asus,86490,13th Gen Intel Core i5 13500H,16.0,512.0,15.6,Windows 11 OS
HP,32790,7th Gen AMD Ryzen 3 7320U,8.0,512.0,15.6,Windows 11 OS
Asus,429990,7th Gen AMD Ryzen 9  7945HX ,32.0,2048.0,16.0,Windows 11 OS
Dell,49990,5th Gen AMD Ryzen 5 5625U,16.0,512.0,14.0,Windows 11 OS
MSI,43990,7th Gen AMD Ryzen 5 7530U,16.0,512.0,14.0,Windows 11 OS
MSI,36990,11th Gen Intel Core i5 1155G7,8.0,512.0,14.0,Windows 11 OS
MSI,102990,12th Gen Intel Core i7 12650H,16.0,1024.0,15.6,Windows 11 OS
Acer,29990,Intel Core i3 N305,8.0,256.0,15.6,Windows 11 OS
HP,77889,13th Gen Intel Core i5 1335U,16.0,1024.0,14.0,Windows 11 OS
Samsung,69990,13th Gen Intel Core i5 1335U,8.0,512.0,15.6,Windows 11 OS
Samsung,138990,13th Gen Intel Core i7 1360P,16.0,1024.0,15.6,Windows 11 OS
HP,51990,5th Gen AMD Ryzen 5  5600H ,8.0,512.0,15.6,Windows 11 OS
Samsung,69990,13th Gen Intel Core i5 1340P,8.0,512.0,14.0,Windows 11 OS
Asus,72990,5th Gen AMD Ryzen 5 5600H,16.0,512.0,15.6,Windows 11 OS
Asus,50400,5th Gen AMD Ryzen 5 5600H,16.0,512.0,16.0,Windows 11 OS
Dell,108000,12th Gen Intel Core i5 1235U,8.0,512.0,14.0,Windows 11 OS
Dell,50990,12th Gen Intel Core i5 1235U,8.0,1024.0,15.6,Windows 11 OS
Lenovo,47990,11th Gen Intel Core i5 11300H,8.0,512.0,15.6,Windows 11 OS
HP,91990,6th Gen AMD Ryzen 7  6800H,16.0,512.0,16.1,Windows 11 OS
Acer,25449,3rd Gen AMD Ryzen 3  3250U,8.0,256.0,14.0,Windows 11 OS
Acer,33207,12th Gen Intel Core i3 1215U,8.0,512.0,15.6,Windows 11 OS
HP,52990,12th Gen Intel Core i5 1235U,8.0,512.0,15.6,Windows 11 OS
Dell,42434,5th Gen AMD Ryzen 5 5625U,8.0,512.0,14.0,Windows 11 OS
HP,42200,11th Gen Intel Core i3 1115G4,8.0,1024.0,15.6,Windows 11 OS
HP,41990,5th Gen AMD Ryzen 5  5500U ,16.0,512.0,15.6,Windows 11 OS
Asus,80900,6th Gen AMD Ryzen 7 6800H ,16.0,512.0,15.6,Windows 11 OS
Asus,38990,11th Gen Intel Core i3 1115G4,8.0,512.0,15.6,Windows 11 OS
Apple,135990,Apple M2 Apple M2 Chip,8.0,512.0,13.6,Mac OS
Asus,72490,12th Gen Intel Core i5 12500H,16.0,512.0,15.6,Windows 11 OS
Asus,72490,12th Gen Intel Core i5 12500H,16.0,512.0,14.0,Windows 11 OS
Dell,35990,11th Gen Intel Core i3 1115G4,8.0,512.0,15.56,Windows 11 OS
Xiaomi,45989,11th Gen Intel Core i5 11300H ,8.0,512.0,15.6,Windows 10  OS
Dell,52500,11th Gen Intel Core i5 1135G7 ,8.0,1024.0,15.6,Windows 10 OS
Dell,59999,10th Gen Intel Core i5 10210U ,8.0,512.0,14.0,Ubuntu OS
Apple,112990,Apple M1 Apple M1 Chip,8.0,512.0,13.3,Mac OS
Avita,21990,3rd Gen AMD Ryzen 5  3500U,8.0,512.0,14.0,Windows 10 OS
Apple,201498,9th Gen Intel Core i9,32.0,2048.0,16.0,Mac Catalina OS
HP,64990,12th Gen Intel Core i5 12450H,16.0,1024.0,15.6,Windows 11 OS
Lenovo,68999,12th Gen Intel Core i5 1235U,8.0,512.0,14.0,DOS OS
Lenovo,60990,7th Gen AMD Ryzen 5 7535HS,8.0,512.0,15.6,Windows 11 OS
Dell,40990,12th Gen Intel Core i3 1215U,8.0,512.0,15.6,Windows 11 OS
Lenovo,107690,7th Gen AMD Ryzen 7 7840HS,16.0,512.0,15.6,Windows 11 OS
Lenovo,25490,AMD Athlon Silver 7120U,8.0,512.0,15.6,Windows 11 OS
HP,38999,12th Gen Intel Core i3 1215U,8.0,512.0,15.6,Windows 11 OS
Infinix,59990,10th Gen Intel Core i5 1035G1,8.0,512.0,15.6,Windows 11 OS
HP,60990,12th Gen Intel Core i5 12450H,8.0,512.0,15.6,Windows 11 OS
HP,55500,7th Gen AMD Ryzen 5 7535HS,8.0,512.0,15.6,Windows 11 OS
HP,124999,13th Gen Intel Core i7 13700H,16.0,1024.0,16.0,Windows 11 OS
HP,104990,7th Gen AMD Ryzen 7 7840HS,16.0,1024.0,16.1,Windows 11 OS
MSI,136990,12th Gen Intel Core i7 12650H,16.0,1024.0,15.6,Windows 11 OS
Lenovo,131990,7th Gen AMD Ryzen 7 7840HS,16.0,1024.0,16.0,Windows 11 OS
Lenovo,36490,11th Gen Intel Core i3 1115G4,8.0,512.0,14.0,Windows 11 OS
Asus,188752,7th Gen AMD Ryzen 9  7940HS,16.0,1024.0,13.4,Windows 11 OS
HP,36999,12th Gen Intel Core i3 1215U,8.0,512.0,15.6,Windows 11 OS
Lenovo,92890,13th Gen Intel Core i5 1340P,16.0,1024.0,14.0,Windows 11 OS
Dell,57990,13th Gen Intel Core i3 1315U,8.0,256.0,14.0,Windows 11 OS
HP,51999,12th Gen Intel Core i5 1235U,8.0,512.0,15.6,Windows 11 OS
Lenovo,79990,13th Gen Intel Core i5 13500H,16.0,512.0,14.0,Windows 11 OS
Lenovo,76890,13th Gen Intel Core i5 1335U,16.0,512.0,14.0,Windows 11 OS
Lenovo,37790,5th Gen AMD Ryzen 5  5500U,8.0,512.0,15.6,Windows 11 OS
Acer,17990,Intel Celeron N4500,8.0,128.0,11.6,Windows 11 OS
HP,38990,12th Gen Intel Core i3 1215U,8.0,512.0,15.6,Windows 11 OS
Lenovo,41990,11th Gen Intel Core i5 1155G7,8.0,512.0,15.6,Windows 11 OS
Lenovo,68990,13th Gen Intel Core i5 13420H,16.0,512.0,14.0,Windows 11 OS
HP,69990,12th Gen Intel Core i5 1235U,16.0,1024.0,14.0,Windows 11 OS
Acer,56990,11th Gen Intel Core i7 1165G7,16.0,1024.0,14.0,Windows 11 OS
Asus,89990,6th Gen AMD Ryzen 7  6800H,16.0,1024.0,15.6,Windows 11 OS
MSI,62990,12th Gen Intel Core i5 12450H,16.0,512.0,15.6,Windows 11 OS
Lenovo,37990,12th Gen Intel Core i3 1215U,8.0,512.0,15.6,Windows 11 OS
Lenovo,58990,6th Gen AMD Ryzen 5 6600H,8.0,512.0,15.6,Windows 11 OS
Lenovo,26990,AMD Athlon 7120U,8.0,512.0,15.6,Windows 11 OS
Asus,94990,13th Gen Intel Core i5 13450HX,16.0,1024.0,16.0,Windows 11 OS
Asus,86189,6th Gen AMD Ryzen 7 6800H,16.0,512.0,17.3,Windows 11 OS
Chuwi,37990,12th Gen Intel Core i3 1215U,12.0,512.0,13.5,Windows 11 OS
Lenovo,194990,13th Gen Intel Core i9 13900H,16.0,1024.0,16.0,Windows 11 OS
Lenovo,51990,11th Gen Intel Core i5 11320H,8.0,512.0,15.6,Windows 11 OS
Lenovo,31990,11th Gen Intel Core i3 1115G4,8.0,256.0,15.6,Windows 11 OS
Acer,41990,13th Gen Intel Core i3 1305U,8.0,512.0,15.6,Windows 11 OS
Asus,31990,11th Gen Intel Core i3 1115G4,8.0,256.0,15.6,Windows 11 OS
Asus,51390,12th Gen Intel Core i5 1235U,16.0,512.0,15.6,Windows 11 OS
HP,76900,13th Gen Intel Core i5 1335U,16.0,1024.0,15.6,Windows 11 OS
HP,27890,Intel Celeron N4500,8.0,512.0,15.6,Windows 11 OS
Lenovo,56990,11th Gen Intel Core i7 1165G7,16.0,512.0,15.6,Windows 11 OS
Asus,73990,5th Gen AMD Ryzen 7 5800HS,16.0,1024.0,15.6,Windows 11 OS
HP,24999,3rd Gen AMD Ryzen 3  3250U,8.0,512.0,15.6,DOS 3.0 OS
HP,33999,5th Gen AMD Ryzen 5  5500U,8.0,256.0,15.6,Windows 11  OS
Lenovo,61990,12th Gen Intel Core i5 12450H,16.0,512.0,16.0,Windows 11 OS
HP,47990,5th Gen AMD Ryzen 5  5600H,8.0,512.0,15.6,Windows 11 OS
Asus,53990,11th Gen Intel Core i5 11260H,8.0,512.0,15.6,Windows 11 OS
HP,31890,3rd Gen AMD Ryzen 3  3250U,8.0,512.0,15.6,Windows 11 OS
Asus,62390,5th Gen AMD Ryzen 5  5600H,16.0,512.0,15.6,Windows 11 OS
Wings,49990,11th Gen Intel Core i7 1165G7,16.0,512.0,14.0,Windows 11 OS
Wings,29990,11th Gen Intel Core i3 1125G4,8.0,256.0,15.6,Windows 11 OS
Infinix,49990,12th Gen Intel Core i7 1255U,16.0,512.0,14.0,Windows 11 OS
Dell,43490,13th Gen Intel Core i3 1305U,8.0,512.0,14.0,Windows 11 OS
Dell,95640,13th Gen Intel Core i5 1335U,16.0,1024.0,14.0,Windows 11 OS
HP,125990,7th Gen AMD Ryzen 7 7840HS,16.0,1024.0,16.0,Windows 11 OS
HP,72990,13th Gen Intel Core i5 1335U,16.0,1024.0,15.6,Windows 11 OS
MSI,47990,11th Gen Intel Core i5 11260H,8.0,512.0,15.6,Windows 11 OS
HP,99999,13th Gen Intel Core i5 13500H,16.0,512.0,15.6,Windows 11 OS
Asus,40990,12th Gen Intel Core i3 1215U,8.0,512.0,15.6,Windows 11 OS
Asus,94990,12th Gen Intel Core i7 12700H,16.0,512.0,14.0,Windows 11 OS
Asus,37990,11th Gen intel Core i3 1115G4,8.0,512.0,15.6,Windows 11 OS
Lenovo,73990,12th Gen Intel Core i5 12450H,16.0,512.0,15.6,Windows 11 OS
Lenovo,109990,7th Gen AMD Ryzen 7 7840HS,16.0,512.0,15.6,Windows 11 OS
Acer,65999,12th Gen Intel Core i5 12450H,8.0,512.0,15.6,Windows 11 OS
Acer,35990,5th Gen AMD Ryzen 5 5500U,8.0,512.0,15.6,Windows 11 OS
Asus,37980,12th Gen Intel Core i3 1215U,8.0,512.0,15.6,Windows 11 OS
MSI,40789,11th Gen Intel Core i5 1155G7,16.0,512.0,15.6,Windows 11 OS
Dell,450039,13th Gen Intel Core i9 13980HX,64.0,1024.0,18.0,Windows 11 OS
Asus,89990,12th Gen Intel Core i7 12650H ,16.0,1024.0,14.0,Windows 11 OS
